id,nombre,email,rol,password
1,SuperAdmin,sudo@restaurante.com,Sudo,admin123
2,Bruno Sánchez,brunos@.com,Administrador,bruno123
3,Juan Pérez,juanp@restaurante.com,Administrador,juan123
4,Rodrigo Sánches,rodrigos@restaurante.com,Cocinero,rodrigo123
5,Monica Rul,monicar@restaurante.com,Mesero,monica123
6,sam,sam@restaurante.com,Cocinero,sam123
7,Kevin,kevin@restaurante.com,Administrador,Kev123
8,gabriel,gabriel@restaurante.com,Administrador,gab123
9,José SA,jsa@resto.com,Cocinero,JSA123
10,Luis,luis@resto.com,Mesero,Ls123
11,Cocinero Uno,cocinero@resto.com,Cocinero,COCINERO123
